year,industry_naics,mfg_inputs,omega_mfg,imported_inputs,omega_import,t_row_label,T001,T005,T006,T007,T008,V00100,V00200,V00300,total_final_use,personal_consumption_exp,nonres_invest_equipment,nonres_invest_ip,res_invest,nonres_invest_structures,change_inventories,exports,imports,fed_defense_consumption_exp,fed_defense_invest_equipment,fed_defense_invest_ip,fed_defense_invest_structures,fed_nondefense_consumption_exp,fed_nondefense_invest_equipment,fed_nondefense_invest_ip,fed_nondefense_invest_structures,state_local_consumption_exp,state_local_invest_equipment,state_local_invest_ip,state_local_invest_structures
2007,1111A0,3146,0.23470605789316623,1065,0.07945389435989257,Oilseed farming,16476,13404,11139,24160,24543,231,710,10198,7684,NA,NA,NA,NA,NA,912,7375,-602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1111B0,13643,0.30486469576098857,4655,0.10402002189895197,Grain farming,36236,44751,7098,51041,51849,2250,-8420,13269,14805,1038,NA,NA,NA,NA,1886,13226,-1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,111200,2459,0.26477872294605365,778,0.08377301604393238,Vegetable and melon farming,3464,9287,9457,18453,18744,2648,245,6563,14989,17579,NA,NA,NA,NA,104,1805,-4499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,111300,1816,0.26204906204906203,470,0.06782106782106782,Fruit and tree nut farming,9704,6930,12049,18684,18979,3656,429,7964,8980,15455,NA,NA,NA,NA,142,2895,-9513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,111400,2145,0.2586830680173661,684,0.0824891461649783,"Greenhouse, nursery, and floriculture production",9329,8292,10308,18520,18600,5709,310,4288,9192,10462,NA,NA,NA,NA,78,625,-1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,111900,2752,0.24993188629552265,1202,0.10916356370901825,Other crop farming,16890,11011,10169,20112,21180,4209,-359,6319,3222,166,NA,NA,NA,NA,145,3960,-1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,112120,9215,0.3826509426127398,1559,0.0647371480774022,Dairy cattle and milk production,35397,24082,12118,35639,36200,2314,615,9188,242,185,NA,NA,NA,NA,46,19,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1121A0,6842,0.19949848378819687,1761,0.051347095871238625,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",58180,34296,23062,56569,57358,799,1305,20959,-1611,109,NA,NA,NA,NA,122,103,-1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,112300,13159,0.4596548833310046,851,0.02972614223836803,Poultry and egg production,28293,28628,4891,32995,33519,1720,627,2544,4702,4397,NA,NA,NA,NA,-94,456,-58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,112A00,1768,0.2824732385365074,279,0.04457581083240134,"Animal production, except cattle and poultry and eggs",21515,6259,17562,23780,23821,1802,661,15100,2265,3194,NA,NA,NA,NA,170,931,-2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,113000,647,0.07216954824316787,168,0.018739542665923033,Forestry and logging,22646,8965,10129,20940,19094,6693,298,3137,-1706,NA,NA,NA,NA,NA,-583,1660,-2783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,114000,609,0.29069212410501194,207,0.09880668257756563,"Fishing, hunting and trapping",10129,2095,4823,7132,6918,605,626,3592,-2997,5343,NA,NA,NA,NA,-4,3319,-11654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,115000,2564,0.504029880086495,765,0.15038333005700805,Support activities for agriculture and forestry,23308,5087,13457,23437,18545,9166,386,3905,129,165,NA,NA,NA,NA,NA,13,-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,211000,12979,0.18295484980476734,12854,0.181192822204367,Oil and gas extraction,508026,70941,205966,235933,276907,22581,27601,155784,-272093,NA,NA,NA,NA,NA,939,4904,-277936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,212100,5878,0.3238924399382852,1950,0.10744985673352435,Coal mining,34300,18148,24623,35266,42771,7334,2478,14811,966,22,NA,NA,NA,NA,-36,2896,-1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,212230,1511,0.26092212053185976,432,0.07459851493697116,"Copper, nickel, lead, and zinc mining",8836,5791,7187,11298,12978,1342,412,5433,2462,NA,NA,NA,NA,NA,71,2574,-183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,2122A0,2911,0.41214781254424465,989,0.1400254849214215,"Iron, gold, silver, and other metal ore mining",10164,7063,7457,12843,14521,1749,687,5021,2679,NA,166,NA,NA,NA,-141,5187,-2533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,212310,1954,0.2351666867252377,684,0.08232037549644963,Stone mining and quarrying,15651,8309,10932,15037,19241,2854,469,7609,-614,NA,NA,NA,NA,NA,-413,115,-316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
