,Americas,Europe,Greater China,Japan,Asia-Pacific,Retail,Other segments,Total,Desktops,Portables,Mac,iPhone,iPad,iPod,Services,Accessories
2000,4298,1817,,1345,,,523,7983,,,6885,,,,1098,
2001,2996,1249,,713,,,386,5344,,,4502,,,,573,387
2002,3088,1251,,710,,283,410,5742,,,4534,,,143,534,674
2003,3181,1309,,698,,621,398,6207,,,4491,,,345,658,1058
2004,4019,1799,,677,,1185,599,8279,,,4923,,,1306,1099,951
2005,6590,3073,,920,,2350,998,13931,3436,2839,6275,,,4540,1990,1126
2006,9307,4094,,1208,,3359,1347,19315,3319,4056,7375,,,7676,3164,1100
2007,11596,5460,,1082,,4115,1753,24006,4020,6294,10314,123,,8305,4004,1260
2008,14573,7622,,1509,,6315,2460,32479,5603,8673,14276,1844,,9153,5547,1659
2009,16142,9365,,1831,,6574,2625,36537,4308,9472,13780,6754,,8091,6442,1470
2010,24498,18692,,3981,8256,9798,,65225,6201,11278,17479,25179,,8274,7521,1814
2011,38315,27778,,5437,22592,14127,,108249,6439,15344,21783,47057,20358,7453,9268,2330
2012,57512,36323,,10571,33274,18828,,156508,6040,17181,23221,80477,32424,5615,11993,2778
2013,62739,37883,25417,13462,11181,20228,,170910,,,21483,91279,31980,4411,16051,5706
2014,65232,40929,29846,14982,10344,21462,,182795,,,24079,101991,30283,2286,18063,6093
2015,93864,50337,58715,15706,15093,,,233715,,,25471,155041,23227,,19909,10067
2016,86613,49952,48492,16928,13654,,,215639,,,22831,136700,20628,,24348,11132
2017,96600,54938,44764,17733,15199,,,229234,,,25569,139337,18802,,32700,12826
2018,112093,62420,51942,21733,17407,,,265595,,,25198,164888,18380,,39748,17381
2019,116914,60288,43678,21506,17788,,,260174,,,25740,142381,21280,,46291,24482
2020,124556,68640,40308,21418,19593,,,274515,,,28622,137781,23724,,53768,30620
2021,153306,89307,68366,28482,26356,,,365817,,,35190,191973,31862,,68425,38367
2022,169658,95118,74200,25977,29375,,,394328,,,40177,205489,29292,,78129,41241
2023,162560,94294,72599,24257,29615,,,383325,,,29357,200583,28300,,85200,39845
2024,167045,101328,66952,25052,30658,,,391035,,,29984,201183,26694,,96169,37005
